Date,Country,City,Street,Location,Avg Reliability
"May 29, 2022",BR,Piraquara,BR-116 Contorno Leste,Point(-49.097059 -25.476699),10
"May 29, 2022",BR,Piraquara,PR-415 Rod. João Leopoldo Jacomel,Point(-49.142194 -25.444662),7
"May 29, 2022",BR,Curitiba,BR-277 Rod. do Café Gov. Ney Braga,Point(-49.232579 -25.444923),9
"May 29, 2022",null,null,null,Point(-49.1845 -25.351673),5
"May 29, 2022",BR,Curitiba,R. Gen. Mário Tourinho,Point(-49.304657 -25.450762),10
"May 29, 2022",BR,Curitiba,R. Francisco Derosso,Point(-49.265783 -25.501743),10
"May 29, 2022",BR,Curitiba,R. Fernando de Noronha,Point(-49.242931 -25.377612),8
"May 29, 2022",null,null,null,Point(-49.29433 -25.512229),6
"May 29, 2022",BR,Curitiba,R. André Ferreira Barbosa,Point(-49.29433 -25.512221),9
"May 29, 2022",BR,Curitiba,R. Pastor Antônio Polito,Point(-49.239938 -25.527312),9
"May 29, 2022",BR,Curitiba,Av. Pref. Maurício Fruet,Point(-49.237396 -25.440227),8
"May 29, 2022",BR,Curitiba,BR-116 N Rod. Régis Bittencourt,Point(-49.303498 -25.54558),6
"May 29, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.254553 -25.46934),5
"May 29, 2022",BR,Pinhais,PR-415 Rod. João Leopoldo Jacomel,Point(-49.197996 -25.431814),6
"May 29, 2022",BR,Curitiba,Av. Comendador Franco,Point(-49.241343 -25.455746),10
"May 29, 2022",BR,Pinhais,Av. Jacob Macanhan,Point(-49.184123 -25.432332),5
"May 29, 2022",BR,Curitiba,R. André Ferreira Barbosa,Point(-49.294333 -25.512008),10
"May 29, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,Point(-49.146816 -25.53408),5
"May 28, 2022",BR,Curitiba,R. Maria Moscardi Fanini,Point(-49.263634 -25.468742),5
"May 28, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.233978 -25.435493),10
"May 28, 2022",BR,Curitiba,BR-277 Rod. do Café Gov. Ney Braga,Point(-49.216453 -25.464936),10
"May 28, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.234628 -25.446564),10
"May 28, 2022",BR,Curitiba,null,Point(-49.225618 -25.422393),8
"May 28, 2022",BR,Curitiba,R. Alferes Ângelo Sampaio,Point(-49.287082 -25.437732),6
"May 28, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.271552 -25.490927),6
"May 28, 2022",BR,Curitiba,R. Murilo do Amaral Ferreira,Point(-49.287785 -25.45885),7
"May 28, 2022",BR,Almirante Tamandaré,R. Antônio Johnson,Point(-49.275407 -25.326906),5
"May 28, 2022",BR,Colombo,BR-116 S Rod. Régis Bittencourt,Point(-49.155761 -25.378048),5
"May 28, 2022",BR,Curitiba,R. Lamenha Lins,Point(-49.272504 -25.44633),8
"May 28, 2022",BR,Curitiba,R. Maria Moscardi Fanini,Point(-49.263778 -25.468441),5
"May 28, 2022",BR,Curitiba,BR-376 Contorno Sul,Point(-49.310575 -25.540988),9
"May 28, 2022",BR,Curitiba,Av. Mal. Floriano Peixoto,Point(-49.254577 -25.466751),7
"May 28, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.207503 -25.390315),10
"May 28, 2022",BR,Curitiba,R. Maria Moscardi Fanini,Point(-49.263659 -25.468691),6
"May 28, 2022",BR,Curitiba,Av. Victor Ferreira do Amaral,Point(-49.228614 -25.428576),6
"May 28, 2022",BR,Colombo,BR-116 S Rod. Régis Bittencourt,Point(-49.154471 -25.377498),10
"May 28, 2022",BR,Curitiba,R. Alferes Ângelo Sampaio,Point(-49.286352 -25.438408),6
"May 28, 2022",BR,Curitiba,R. Alferes Ângelo Sampaio,Point(-49.286495 -25.438274),10
"May 28, 2022",BR,Curitiba,PR-418 Contorno Norte,Point(-49.365179 -25.420391),10
"May 28, 2022",BR,Curitiba,R. Des. Motta,Point(-49.286301 -25.428586),5
"May 28, 2022",BR,Curitiba,R. Antônio Escorsin,Point(-49.354908 -25.418824),6
"May 28, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.220717 -25.410242),5
